Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,VWStrikeCall,MaxOIStrikePut,MaxOIPut,TotalOIPut,VWStrikePut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-09-08,發行量加權股價指數,17428.87,17447.58,17167.08,17270.49,C < O,C < O,Earned,202109,17800.0,24578.0,172578.0,17841.373755635133,16000.0,21158.0,163154.0,15846.716599041396,0.0,40496.0,8108.0,0.06,0.21,1.0,-0.03,0.08
2021-09-09,發行量加權股價指數,17270.49,17319.09,17122.95,17304.33,C > O,C > O,,202109,17400.0,26862.0,200960.0,17551.369426751593,17000.0,28510.0,214784.0,16049.266239570918,0.0,28382.0,51630.0,-0.06,-0.12,1.0,-0.01,0.02
2021-09-10,發行量加權股價指數,17304.33,17474.57,17270.28,17474.57,C < O,C > O,,202109,17500.0,25056.0,187836.0,17592.569049596455,17000.0,29958.0,223466.0,16095.269078965033,0.0,-13124.0,8682.0,-0.16,-0.1,0.0,-0.0,0.03
2021-09-13,發行量加權股價指數,17474.57,17482.57,17387.57,17446.31,,,,202109,17500.0,26808.0,207546.0,17602.650978578244,17000.0,33658.0,235928.0,16333.923908989183,0.0,19710.0,12462.0,-0.12,0.04000000000000001,,-0.0,0.03
2021-09-14,發行量加權股價指數,17446.31,17529.47,17424.54,17434.9,C > O,C < O,Earned,202109,17600.0,37136.0,234750.0,17612.3821086262,17000.0,31794.0,230458.0,16415.579411432886,0.0,27204.0,-5470.0,0.02,0.13999999999999999,0.0,-0.01,0.03
2021-09-15,發行量加權股價指數,17434.9,17439.75,17316.52,17354.0,,,,202110,18000.0,5932.0,46158.0,17859.82061614455,16000.0,6400.0,45780.0,16014.595893403233,0.0,-188592.0,-184678.0,0.01,-0.01,,-0.04,0.08
2021-09-16,發行量加權股價指數,17354.0,17411.37,17254.1,17278.7,,,,202110,18000.0,8336.0,64356.0,17808.14531667599,16000.0,7800.0,52508.0,16210.246057743581,0.0,18198.0,6728.0,0.23,0.22,,-0.04,0.08
2021-09-17,發行量加權股價指數,17278.7,17408.71,17235.45,17276.79,C > O,C < O,Earned,202110,18000.0,9174.0,72250.0,17811.698269896195,16000.0,12424.0,66076.0,16121.65385313881,0.0,7894.0,13568.0,0.09,-0.14,0.0,-0.04,0.08
2021-09-22,發行量加權股價指數,17276.79,17276.79,16838.58,16925.82,C < O,C < O,Earned,202110,18000.0,12558.0,81974.0,17797.489447873715,16000.0,12636.0,73384.0,15988.804098986155,0.0,9724.0,7308.0,0.12,0.03,1.0,-0.06,0.06
2021-09-23,發行量加權股價指數,16925.82,17145.25,16925.82,17078.22,C > O,C > O,Earned,202110,18000.0,13556.0,91384.0,17791.950450844786,16000.0,13888.0,85414.0,15921.832486477626,0.0,9410.0,12030.0,0.07,-0.04999999999999999,1.0,-0.05,0.07
